WKT,name,description
"POLYGON ((106.7025269 -6.1059412, 106.6910256 -6.1136221, 106.6879357 -6.1247165, 106.6802109 -6.139395, 106.678151 -6.1607291, 106.6889656 -6.1716519, 106.7039002 -6.1781372, 106.7179764 -6.1876943, 106.7269028 -6.2015177, 106.7560852 -6.247593, 106.7605484 -6.2820615, 106.786641 -6.294688, 106.81754 -6.3598632, 106.8518723 -6.3373429, 106.8786515 -6.3598632, 106.8968476 -6.3752175, 106.9081772 -6.3622517, 106.9253433 -6.3288122, 106.9401062 -6.3032193, 106.9346131 -6.262268, 106.9552124 -6.2209722, 106.9706619 -6.1899129, 106.9720352 -6.1690919, 106.968602 -6.1079895, 106.9679154 -6.0854584, 106.9514359 -6.0615607, 106.8927277 -6.0629263, 106.8731583 -6.0431246, 106.848439 -6.0301506, 106.8178833 -6.0373205, 106.7821778 -6.0632677, 106.7505921 -6.0735096, 106.7179764 -6.0926275, 106.7025269 -6.1059412))",DKI Jakarta,
"POLYGON ((106.7442394 -6.394916, 106.7411495 -6.4046397, 106.7342831 -6.4153867, 106.7322231 -6.4285217, 106.7329098 -6.4387565, 106.7540241 -6.4408035, 106.7737652 -6.4423387, 106.7991711 -6.4437033, 106.8206287 -6.4413152, 106.8434597 -6.4426798, 106.8776203 -6.4435327, 106.8891216 -6.4305687, 106.8968464 -6.4182867, 106.9365002 -6.3758091, 106.8978764 -6.3766621, 106.8916966 -6.3720559, 106.8534161 -6.3418587, 106.8504978 -6.3333281, 106.8286968 -6.3527777, 106.8144489 -6.3636964, 106.7730785 -6.3635258, 106.7483593 -6.3633552, 106.7442394 -6.394916))",Depok,
